overall_percentage,consecutive_absences,monday_absences,total_classes,present_classes,at_risk,risk_score
99.3,3,8,75,74,0,0.19
41.2,9,12,33,13,1,0.95
50.0,6,7,74,37,1,0.92
94.2,5,15,76,71,0,0.39
98.8,5,0,65,64,0,0.11
60.5,11,12,55,33,1,0.56
79.5,9,6,74,58,1,0.54
54.5,4,10,78,42,1,0.93
89.9,1,9,59,53,1,0.42
68.3,14,15,48,32,1,0.64
40.7,6,20,30,12,1,0.89
89.2,3,4,54,48,0,0.28
88.1,1,3,52,45,0,0.26
28.9,10,18,57,16,1,0.95
72.0,12,7,32,23,1,0.56
54.7,9,19,41,22,1,0.92
53.2,2,14,71,37,1,0.89
72.4,14,11,30,21,1,0.56
31.2,15,20,72,22,1,0.94
41.9,15,8,74,31,1,0.92
84.6,5,12,60,50,1,0.45
77.7,9,18,38,29,1,0.46
29.8,5,12,74,22,1,0.85
66.7,15,2,63,42,1,0.63
65.4,3,6,72,47,1,0.64
38.5,5,0,65,25,1,0.89
48.6,1,4,66,32,1,0.87
37.1,8,1,35,12,1,0.95
63.0,11,17,40,25,1,0.59
95.9,0,7,49,46,0,0.06
92.8,9,17,58,53,1,0.46
61.8,10,16,52,32,1,0.61
63.3,3,1,45,28,1,0.55
35.6,6,4,68,24,1,0.91
69.4,8,4,76,52,1,0.61
30.6,8,8,54,16,1,0.91
37.2,14,2,46,17,1,0.92
95.5,4,17,43,41,0,0.36
80.0,6,11,66,52,1,0.52
86.5,5,13,39,33,0,0.38
84.1,12,0,68,57,1,0.47
45.3,3,17,56,25,1,0.86
73.0,11,10,79,57,1,0.58
90.2,7,8,30,27,1,0.46
98.5,7,12,36,35,1,0.53
34.3,9,18,61,20,1,0.86
51.2,9,17,47,24,1,0.91
92.2,5,10,78,71,0,0.39
50.9,12,15,67,34,1,0.86
25.7,4,4,39,10,1,0.89
80.2,1,20,53,42,1,0.42
43.7,13,14,41,17,1,0.89
51.6,14,16,48,24,1,0.88
57.1,7,9,70,39,1,0.94
96.1,13,10,35,33,1,0.51
30.8,7,2,40,12,1,0.91
31.3,9,17,61,19,1,0.93
25.8,13,16,76,19,1,0.86
62.3,3,12,30,18,1,0.61
93.3,0,13,74,69,1,0.4
50.9,1,19,58,29,1,0.95
75.6,7,5,34,25,1,0.49
35.0,11,1,57,19,1,0.9
37.8,3,10,73,27,1,0.87
65.4,3,9,49,32,1,0.6
44.9,0,20,66,29,1,0.89
94.2,1,14,69,64,1,0.43
29.3,0,19,59,17,1,0.88
51.5,0,11,76,39,1,0.87
51.6,3,13,61,31,1,0.87
64.7,4,13,37,23,1,0.64
25.5,8,7,60,15,1,0.89
47.4,13,5,64,30,1,0.93
33.2,14,14,40,13,1,0.86
81.0,0,11,75,60,0,0.37
39.2,1,4,55,21,1,0.89
49.8,1,5,72,35,1,0.87
60.9,8,3,56,34,1,0.6
62.2,4,10,78,48,1,0.63
91.1,12,4,37,33,1,0.55
84.5,4,4,52,43,0,0.18
42.7,10,13,68,29,1,0.92
57.6,9,9,61,35,1,0.86
57.2,4,16,41,23,1,0.87
82.5,8,7,72,59,1,0.53
39.9,3,16,69,27,1,0.87
99.4,4,7,37,36,0,0.0
99.3,4,13,31,30,1,0.41
31.8,1,12,56,17,1,0.9
77.5,7,7,51,39,1,0.49
29.6,13,20,33,9,1,0.88
45.2,8,11,75,33,1,0.89
49.0,1,5,32,15,1,0.85
74.5,10,6,48,35,1,0.6
93.1,3,13,41,38,0,0.38
61.8,10,9,37,22,1,0.56
26.0,4,10,53,13,1,0.92
52.1,11,7,71,36,1,0.88
68.8,2,3,38,26,1,0.61
70.1,1,18,71,49,1,0.63
39.5,14,3,34,13,1,0.94
71.4,9,15,78,55,1,0.57
79.1,1,4,42,33,0,0.15
91.9,11,11,58,53,1,0.51
33.8,13,2,60,20,1,0.89
94.8,0,5,68,64,0,0.13
46.7,1,6,77,35,1,0.93
62.1,2,5,58,36,1,0.63
53.8,12,12,68,36,1,0.88
38.8,5,18,43,16,1,0.91
25.7,14,16,75,19,1,0.92
44.4,7,9,75,33,1,0.88
33.9,7,1,64,21,1,0.87
27.9,4,8,38,10,1,0.88
84.3,7,6,64,53,1,0.46
73.6,11,10,35,25,1,0.64
91.3,8,4,56,51,1,0.54
47.1,1,20,30,14,1,0.93
41.4,8,5,46,19,1,0.95
65.3,3,12,71,46,1,0.58
72.0,6,14,44,31,1,0.58
40.3,12,4,58,23,1,0.87
79.5,11,4,60,47,1,0.46
38.6,5,5,42,16,1,0.91
95.8,5,20,48,45,0,0.35
37.2,5,12,73,27,1,0.91
30.2,2,13,45,13,1,0.9
73.4,12,3,76,55,1,0.6
79.5,0,19,36,28,0,0.39
26.6,0,20,32,8,1,0.86
82.8,8,4,70,57,1,0.51
84.4,0,3,64,54,0,0.2
78.1,6,4,60,46,1,0.53
91.9,5,9,51,46,0,0.4
43.3,8,20,64,27,1,0.86
86.9,3,17,48,41,0,0.36
91.5,13,4,30,27,1,0.54
26.8,13,12,39,10,1,0.89
46.5,12,3,61,28,1,0.87
33.3,3,9,52,17,1,0.86
50.0,11,2,32,16,1,0.91
38.4,10,19,41,15,1,0.92
36.3,9,19,48,17,1,0.88
32.8,15,11,46,15,1,0.93
78.3,2,0,39,30,0,0.2
36.1,14,15,34,12,1,0.86
57.1,8,4,35,19,1,0.88
34.6,12,11,50,17,1,0.9
61.1,13,19,80,48,1,0.61
35.4,7,12,56,19,1,0.9
65.4,15,17,64,41,1,0.63
53.8,13,16,66,35,1,0.93
85.8,7,2,45,38,1,0.49
40.2,0,11,65,26,1,0.9
35.0,3,1,52,18,1,0.89
88.7,4,9,59,52,0,0.36
89.0,13,7,43,38,1,0.53
29.2,4,3,74,21,1,0.92
53.3,0,13,53,28,1,0.86
33.0,2,15,68,22,1,0.94
27.3,11,4,35,9,1,0.87
25.9,13,4,78,20,1,0.87
80.8,9,15,56,45,1,0.52
58.3,0,9,37,21,1,0.87
91.1,1,19,78,71,0,0.37
37.0,12,13,73,27,1,0.94
59.1,8,18,62,36,1,0.88
42.0,5,8,35,14,1,0.9
98.3,4,6,55,54,0,0.16
38.8,2,14,60,23,1,0.88
73.1,12,5,33,24,1,0.63
73.5,6,8,36,26,1,0.56
52.2,10,0,45,23,1,0.88
65.6,2,6,68,44,1,0.55
93.2,6,17,42,39,1,0.51
27.4,8,2,66,18,1,0.91
67.3,15,1,33,22,1,0.58
95.8,0,11,78,74,0,0.38
54.9,6,10,78,42,1,0.89
51.7,4,3,51,26,1,0.89
80.6,3,16,79,63,0,0.37
69.0,12,15,67,46,1,0.64
27.8,5,4,73,20,1,0.9
91.4,2,7,43,39,0,0.26
82.7,5,16,63,52,1,0.45
70.7,10,14,80,56,1,0.56
46.8,13,1,75,35,1,0.93
54.1,6,19,68,36,1,0.86
36.4,15,3,30,10,1,0.86
90.3,2,15,36,32,0,0.4
37.7,9,5,34,12,1,0.88
52.2,2,2,41,21,1,0.92
59.6,15,8,78,46,1,0.94
73.8,4,3,66,48,1,0.6
52.3,9,12,56,29,1,0.94
93.8,4,14,53,49,1,0.4
71.8,10,11,35,25,1,0.62
62.9,8,1,69,43,1,0.65
29.3,7,17,30,8,1,0.87
32.9,12,5,66,21,1,0.89
30.5,12,14,72,21,1,0.86
59.9,14,3,35,20,1,0.87
33.1,12,13,42,13,1,0.89
29.8,10,19,61,18,1,0.87
80.6,3,8,59,47,0,0.0
60.2,6,10,66,39,1,0.55
70.1,12,1,53,37,1,0.63
98.4,6,1,43,42,1,0.54
96.4,13,8,46,44,1,0.51
31.3,2,8,55,17,1,0.86
90.5,14,13,63,57,1,0.47
92.0,5,1,35,32,0,0.26
97.3,9,5,42,40,1,0.48
56.4,15,17,74,41,1,0.93
97.4,13,11,74,72,1,0.51
86.7,6,2,76,65,1,0.52
71.2,10,10,30,21,1,0.57
59.4,4,15,50,29,1,0.86
97.7,13,8,63,61,1,0.52
99.1,4,20,58,57,1,0.41
68.4,1,6,77,52,1,0.65
56.5,5,19,54,30,1,0.87
40.7,6,18,30,12,1,0.89
52.3,9,9,62,32,1,0.93
34.4,15,20,59,20,1,0.89
51.4,13,16,78,40,1,0.88
94.5,14,13,53,50,1,0.47
