attendance_percentage,assignment_score,midterm_score,quiz_average,study_hours_per_day,final_score,risk_level
98.2,39.9,50.1,23.8,4.6,60.9,LOW
48.4,83.5,28.8,81.7,5.5,52.8,MEDIUM
58.1,47.9,83.4,87.6,8.6,67.6,LOW
73.1,79.2,85.3,38.2,8.3,67.8,LOW
80.5,71.2,38.2,59.8,1.9,55.3,MEDIUM
48.5,76.6,41.6,84.5,9.0,64.7,LOW
97.2,45.8,20.0,66.5,9.1,55.6,MEDIUM
69.2,80.5,58.4,51.8,7.0,60.9,LOW
36.3,67.8,88.9,52.4,2.6,67.9,LOW
67.3,51.7,92.9,28.3,9.6,73.0,LOW
92.1,43.5,61.3,26.6,10.0,58.8,MEDIUM
32.9,63.8,70.1,41.9,4.9,61.1,LOW
98.8,39.6,30.3,71.8,2.2,44.3,MEDIUM
47.1,21.7,65.1,87.0,4.1,53.5,MEDIUM
69.8,53.0,86.3,66.5,6.3,76.8,LOW
98.5,79.7,73.6,98.6,8.0,80.4,LOW
55.9,92.0,94.3,45.6,3.6,83.2,LOW
39.4,88.8,98.8,39.8,5.4,67.4,LOW
98.7,82.7,55.7,58.1,3.1,75.1,LOW
72.3,77.6,74.6,71.6,5.5,81.2,LOW
62.6,65.9,14.8,69.5,5.0,46.1,MEDIUM
96.7,33.7,60.4,64.7,0.6,56.5,MEDIUM
90.7,31.8,71.4,25.2,7.2,59.6,MEDIUM
96.3,78.2,74.2,59.3,7.0,84.3,LOW
99.0,37.2,50.7,63.1,6.7,56.9,MEDIUM
69.9,90.1,95.2,31.5,5.4,80.2,LOW
52.0,20.5,64.9,77.0,3.6,45.5,MEDIUM
98.4,69.1,57.7,78.4,7.3,68.5,LOW
72.1,80.7,26.1,34.5,6.5,52.1,MEDIUM
38.4,27.1,95.2,65.9,9.5,60.6,LOW
58.5,75.7,22.5,47.5,1.0,43.8,MEDIUM
79.5,90.3,55.0,34.8,4.0,60.6,LOW
99.0,70.6,40.6,80.1,5.2,58.6,MEDIUM
72.4,98.6,15.3,49.9,1.7,60.2,LOW
67.0,20.4,44.6,22.2,9.1,43.0,MEDIUM
90.2,96.5,27.0,69.7,1.8,58.5,MEDIUM
54.2,89.8,92.1,68.0,5.7,84.8,LOW
79.4,90.4,26.0,31.9,8.2,49.0,MEDIUM
32.7,63.0,96.2,95.3,8.1,71.3,LOW
50.4,47.9,26.2,61.5,9.0,44.9,MEDIUM
72.2,99.8,92.8,95.0,9.3,91.5,LOW
57.2,55.8,20.5,64.4,3.4,41.8,MEDIUM
46.8,85.4,27.0,52.3,3.6,56.5,MEDIUM
94.5,84.9,91.9,76.6,8.4,81.6,LOW
66.4,73.1,38.8,62.2,5.8,57.9,MEDIUM
57.6,63.7,28.1,45.6,4.5,41.5,MEDIUM
96.1,54.1,49.2,26.6,0.2,47.7,MEDIUM
69.3,68.8,37.5,99.4,7.7,67.3,LOW
78.9,62.2,13.7,95.7,3.1,53.4,MEDIUM
93.0,63.4,67.7,79.1,5.3,65.4,LOW
51.2,35.1,96.8,24.2,8.3,66.7,LOW
81.7,61.9,26.0,49.7,7.0,58.4,MEDIUM
36.9,96.0,90.3,77.0,0.7,70.1,LOW
44.5,71.2,11.4,93.8,2.1,48.8,MEDIUM
94.7,20.4,31.6,85.1,8.3,59.8,MEDIUM
99.1,86.1,43.5,87.0,0.4,64.1,LOW
47.2,73.5,89.4,53.8,5.7,75.8,LOW
73.8,36.4,89.1,78.9,2.7,71.3,LOW
59.1,53.1,35.0,92.1,8.2,55.1,MEDIUM
72.0,70.1,45.6,75.7,4.5,64.1,LOW
45.6,71.0,20.4,92.2,4.9,45.2,MEDIUM
52.9,95.5,33.1,74.5,9.3,60.2,LOW
67.5,42.8,61.3,28.7,1.2,55.7,MEDIUM
91.9,96.0,59.9,59.8,1.3,80.9,LOW
62.8,28.7,30.6,86.6,1.8,48.5,MEDIUM
86.4,39.3,65.4,55.0,1.4,60.5,LOW
32.9,94.7,79.0,35.1,2.1,61.3,LOW
69.8,95.9,40.7,96.0,9.2,68.8,LOW
44.0,71.5,45.2,32.2,2.9,41.8,MEDIUM
42.9,35.5,69.2,55.1,8.7,47.4,MEDIUM
47.2,62.3,60.1,31.5,9.6,48.5,MEDIUM
77.9,52.8,58.1,69.5,1.7,67.3,LOW
55.9,31.5,19.3,38.7,3.8,34.5,HIGH
87.0,81.5,20.8,38.0,6.3,54.9,MEDIUM
35.2,71.9,92.0,95.0,6.4,71.2,LOW
73.1,56.0,77.3,74.6,6.1,67.4,LOW
99.2,56.4,92.7,32.3,5.4,71.7,LOW
40.1,71.0,25.7,97.4,10.0,60.5,LOW
55.8,21.7,82.5,31.5,4.6,55.9,MEDIUM
67.9,38.2,46.2,87.2,3.5,61.2,LOW
59.5,53.4,76.0,55.5,3.9,59.9,MEDIUM
52.8,51.9,75.1,36.5,2.2,51.5,MEDIUM
43.6,89.9,69.3,69.5,9.0,71.1,LOW
83.5,52.7,68.0,37.1,1.4,53.7,MEDIUM
75.7,44.0,85.0,82.0,6.2,64.1,LOW
45.2,64.1,24.1,50.7,5.2,38.6,HIGH
61.0,75.5,44.7,73.4,2.7,63.0,LOW
69.4,32.5,46.2,82.5,2.0,50.1,MEDIUM
62.8,89.4,21.7,94.5,3.2,65.2,LOW
72.9,78.8,88.8,74.1,7.9,73.8,LOW
30.6,89.0,14.7,88.2,3.1,54.7,MEDIUM
44.2,32.0,29.2,87.3,3.6,48.5,MEDIUM
70.8,86.3,52.8,76.3,2.9,60.7,LOW
69.3,92.1,23.7,53.2,5.3,57.7,MEDIUM
41.1,64.2,52.3,98.7,6.9,67.3,LOW
98.3,73.1,23.2,55.6,7.6,52.4,MEDIUM
56.7,50.3,25.3,21.6,6.9,44.5,MEDIUM
95.2,66.8,26.4,91.5,9.7,70.7,LOW
69.7,90.8,98.9,90.9,0.7,79.4,LOW
51.0,51.5,23.5,99.4,7.9,52.9,MEDIUM
97.3,45.7,74.0,95.9,0.8,73.2,LOW
86.0,21.3,90.2,53.4,1.7,68.6,LOW
43.4,42.4,56.8,93.3,4.9,62.1,LOW
33.6,39.1,37.6,55.9,4.3,32.8,HIGH
82.5,80.8,51.2,26.4,5.5,55.4,MEDIUM
98.5,69.9,76.1,21.5,3.8,75.4,LOW
56.6,22.9,70.5,75.7,3.4,59.6,MEDIUM
89.8,82.7,46.6,47.4,9.4,70.3,LOW
68.7,59.1,34.0,93.1,9.2,52.3,MEDIUM
76.6,45.5,55.8,29.1,8.1,59.5,MEDIUM
37.5,26.0,43.6,32.3,8.0,42.6,MEDIUM
90.5,20.8,11.2,84.6,8.7,46.1,MEDIUM
40.9,70.1,88.4,56.9,8.7,74.1,LOW
37.4,29.8,73.4,36.0,7.5,43.1,MEDIUM
36.4,96.1,10.3,83.3,2.3,41.4,MEDIUM
35.6,45.6,57.6,58.1,2.0,56.2,MEDIUM
72.4,34.9,35.9,74.1,8.7,44.2,MEDIUM
42.9,20.5,25.8,35.8,1.4,29.5,HIGH
98.1,76.0,73.3,26.1,1.9,66.3,LOW
99.4,33.0,67.2,67.4,6.0,64.9,LOW
50.0,54.1,84.2,78.8,5.3,69.9,LOW
97.8,40.1,77.9,25.2,0.6,58.4,MEDIUM
81.3,69.6,83.6,26.4,7.6,74.1,LOW
30.8,79.5,17.9,67.1,9.2,44.7,MEDIUM
77.7,74.3,15.9,41.0,8.4,49.2,MEDIUM
82.0,58.4,55.0,81.1,3.1,72.0,LOW
43.3,67.0,13.8,48.2,4.6,39.2,HIGH
94.6,87.7,97.5,57.1,9.0,87.3,LOW
39.9,80.0,47.8,22.0,1.4,45.8,MEDIUM
99.3,70.6,45.9,21.1,7.9,63.3,LOW
42.1,67.4,26.6,27.6,3.9,35.1,HIGH
53.6,21.7,45.3,44.3,9.6,44.2,MEDIUM
45.9,58.9,75.1,54.6,9.5,57.7,MEDIUM
97.8,24.8,96.5,25.4,3.2,64.6,LOW
50.3,38.8,94.9,84.3,4.2,59.9,MEDIUM
51.6,32.7,66.7,74.7,4.3,49.1,MEDIUM
39.1,42.6,75.2,84.6,8.6,59.7,MEDIUM
97.9,25.0,50.2,53.4,2.1,49.7,MEDIUM
46.3,89.7,38.1,93.3,9.7,68.5,LOW
68.8,66.2,39.8,35.6,1.3,47.4,MEDIUM
74.3,97.7,30.6,67.4,2.4,66.4,LOW
64.2,57.6,11.7,60.9,1.0,45.0,MEDIUM
73.7,26.5,54.2,68.2,8.9,62.3,LOW
48.6,56.0,80.0,83.3,2.8,59.9,MEDIUM
89.3,24.7,32.2,70.6,3.3,52.7,MEDIUM
63.8,31.7,34.5,45.6,9.9,46.2,MEDIUM
67.5,85.9,68.1,96.6,6.0,70.2,LOW
81.3,78.8,27.5,83.9,2.8,64.2,LOW
59.6,85.5,11.0,40.9,1.4,36.4,HIGH
75.6,81.0,17.1,57.2,9.1,48.8,MEDIUM
73.8,64.4,63.4,80.7,1.1,62.1,LOW
49.3,76.5,50.8,33.0,1.3,59.7,MEDIUM
38.7,89.4,59.7,49.5,3.2,63.5,LOW
68.5,70.3,68.2,51.6,3.3,69.9,LOW
32.4,42.6,60.9,65.5,8.8,45.6,MEDIUM
80.2,30.5,15.7,25.4,1.5,34.1,HIGH
95.8,38.8,77.9,97.8,3.4,71.1,LOW
82.6,59.4,59.1,62.0,6.4,62.9,LOW
40.8,85.8,83.3,55.9,1.2,74.3,LOW
48.3,39.1,68.0,64.6,0.5,58.7,MEDIUM
45.8,23.4,29.7,38.6,1.5,37.9,HIGH
65.0,45.8,78.0,73.6,0.2,67.1,LOW
64.5,73.6,72.7,64.0,0.4,68.0,LOW
44.6,66.6,10.6,76.1,5.8,41.5,MEDIUM
92.9,33.1,29.2,62.9,9.2,55.0,MEDIUM
49.7,64.5,56.0,32.8,2.0,53.3,MEDIUM
53.4,46.2,33.4,29.5,2.9,32.3,HIGH
72.2,72.1,56.1,52.5,1.8,53.5,MEDIUM
86.3,79.4,88.7,36.0,5.7,80.4,LOW
88.3,73.9,89.8,85.4,3.6,75.0,LOW
73.8,65.3,89.6,40.2,5.1,68.0,LOW
45.1,34.5,40.1,60.0,7.2,47.8,MEDIUM
62.1,51.3,77.8,93.7,4.8,70.5,LOW
85.7,73.4,94.4,26.2,1.1,65.0,LOW
32.2,24.0,11.0,41.9,0.0,21.7,HIGH
81.0,96.9,18.8,49.4,6.5,65.2,LOW
81.9,49.8,35.2,72.3,3.0,46.1,MEDIUM
38.4,31.3,51.1,94.6,9.8,59.1,MEDIUM
38.4,70.9,95.7,83.4,8.8,82.7,LOW
42.2,29.0,75.2,56.4,8.9,58.0,MEDIUM
49.1,21.8,60.7,25.1,6.9,39.2,HIGH
57.8,50.2,13.3,54.6,4.7,34.1,HIGH
30.9,91.8,69.1,96.8,8.8,75.6,LOW
80.3,36.2,34.1,73.7,9.6,47.9,MEDIUM
78.3,84.8,99.6,23.5,5.6,83.8,LOW
69.1,76.2,81.3,77.2,7.4,73.2,LOW
36.2,49.4,83.9,63.6,3.7,66.8,LOW
80.8,63.3,38.9,71.1,4.1,59.6,MEDIUM
56.0,98.7,79.1,31.8,6.7,77.9,LOW
77.3,52.6,96.5,26.9,2.5,61.9,LOW
94.7,71.6,50.6,63.1,6.8,73.7,LOW
54.0,93.5,98.4,31.6,3.4,77.2,LOW
82.1,88.1,61.6,98.2,7.9,83.9,LOW
57.7,85.9,89.3,99.2,5.4,82.2,LOW
70.3,40.4,59.5,95.4,7.4,65.9,LOW
85.1,59.1,39.3,86.9,3.7,67.4,LOW
66.6,85.5,29.7,48.1,4.1,58.4,MEDIUM
37.4,71.2,50.8,86.7,9.0,55.6,MEDIUM
30.0,83.5,55.4,28.6,1.4,44.4,MEDIUM
96.5,39.3,46.6,86.0,5.4,54.6,MEDIUM
87.0,21.9,12.8,29.7,1.9,37.2,HIGH
35.0,40.3,95.6,53.8,3.6,58.9,MEDIUM
78.8,44.0,44.9,36.7,4.3,51.6,MEDIUM
63.5,69.2,13.8,59.3,0.3,41.0,MEDIUM
32.2,76.1,87.5,50.7,5.4,60.0,LOW
78.2,69.6,41.6,97.7,4.9,57.1,MEDIUM
32.7,59.0,91.5,58.0,5.4,58.0,MEDIUM
80.7,77.2,93.0,56.4,7.5,76.1,LOW
98.9,22.7,37.9,82.2,8.5,50.8,MEDIUM
58.7,20.8,21.6,89.0,7.8,48.7,MEDIUM
61.1,60.2,51.7,75.8,3.9,65.5,LOW
75.8,23.9,62.7,75.9,4.9,63.4,LOW
50.5,33.0,36.1,46.5,1.1,33.0,HIGH
88.6,35.9,53.8,20.5,7.8,57.4,MEDIUM
93.4,81.8,13.9,34.6,3.4,53.8,MEDIUM
89.2,38.3,50.0,76.1,9.1,54.5,MEDIUM
39.7,79.2,95.2,65.0,4.4,70.9,LOW
78.9,21.6,57.3,75.5,6.3,49.4,MEDIUM
63.2,42.3,60.2,53.8,0.7,48.9,MEDIUM
96.4,48.6,46.1,93.5,9.1,72.1,LOW
38.5,33.0,61.3,73.2,4.5,58.6,MEDIUM
56.1,41.0,16.0,83.2,1.9,39.1,HIGH
69.2,38.6,23.3,30.7,7.0,31.9,HIGH
34.2,83.0,20.1,73.3,5.9,40.7,MEDIUM
91.6,31.0,92.9,88.8,8.0,70.9,LOW
63.2,58.3,18.9,51.0,6.3,45.3,MEDIUM
86.3,31.7,21.4,60.8,8.6,39.2,HIGH
65.9,99.0,61.0,39.8,7.5,74.4,LOW
55.3,38.0,33.6,24.8,4.3,44.1,MEDIUM
84.6,22.2,70.4,94.5,3.9,64.9,LOW
90.7,79.9,21.5,69.2,7.9,66.2,LOW
75.2,80.4,24.2,67.9,2.9,59.6,MEDIUM
60.3,22.5,16.0,26.8,8.9,26.1,HIGH
74.9,49.6,45.4,57.2,8.1,62.6,LOW
51.2,62.8,39.4,44.7,9.5,51.4,MEDIUM
57.0,89.7,72.0,75.6,9.2,76.6,LOW
76.3,65.9,52.2,27.3,4.9,54.0,MEDIUM
66.2,70.5,32.6,41.5,2.7,46.5,MEDIUM
65.9,45.0,91.5,92.6,5.7,70.8,LOW
51.4,86.1,56.6,52.9,2.6,59.6,MEDIUM
76.1,81.5,90.1,31.1,7.7,72.4,LOW
78.1,48.9,58.8,45.7,8.0,60.6,LOW
42.1,78.0,88.9,71.1,2.1,75.4,LOW
88.1,34.6,68.3,59.8,2.5,60.1,LOW
49.0,65.5,58.4,31.7,6.1,50.5,MEDIUM
97.7,85.0,98.5,20.3,1.9,86.2,LOW
94.9,56.4,99.2,66.7,2.8,80.3,LOW
43.9,24.1,48.5,98.5,6.0,49.2,MEDIUM
57.1,29.6,26.3,48.9,8.0,32.2,HIGH
89.3,42.2,59.4,41.5,7.8,66.1,LOW
78.1,36.4,90.2,65.3,0.1,63.5,LOW
73.7,42.2,48.7,38.4,6.2,52.3,MEDIUM
48.7,64.2,85.7,32.1,5.5,60.4,LOW
45.4,84.5,84.3,36.3,6.2,75.5,LOW
36.4,79.2,98.1,41.6,4.9,63.6,LOW
89.2,37.7,51.4,33.3,1.7,46.6,MEDIUM
37.5,39.1,37.8,66.4,6.0,41.7,MEDIUM
44.9,28.0,17.4,77.0,4.4,39.6,HIGH
56.9,69.2,44.2,63.3,2.7,61.1,LOW
64.4,83.2,57.2,45.8,5.0,64.9,LOW
88.7,68.5,43.6,76.3,6.0,67.8,LOW
56.4,83.0,28.6,45.1,4.1,46.8,MEDIUM
50.3,38.5,64.0,57.6,0.2,57.8,MEDIUM
47.1,75.8,50.7,84.0,3.9,58.2,MEDIUM
56.7,59.3,75.2,92.7,0.9,62.9,LOW
46.0,49.3,99.7,58.3,1.7,71.7,LOW
75.2,67.9,82.9,87.7,9.8,76.9,LOW
83.2,27.2,92.4,27.4,7.0,56.2,MEDIUM
35.5,94.6,50.8,43.5,8.6,55.8,MEDIUM
94.1,38.3,38.0,61.6,2.3,45.6,MEDIUM
33.7,72.4,80.6,96.3,9.4,67.0,LOW
68.4,95.4,90.5,38.9,8.1,74.2,LOW
79.9,25.4,19.1,85.4,1.8,36.7,HIGH
62.4,80.9,75.1,32.2,9.3,64.4,LOW
30.6,88.4,79.0,61.1,0.2,65.2,LOW
34.0,30.8,14.4,32.5,1.3,30.9,HIGH
88.4,65.9,35.1,39.7,1.8,47.1,MEDIUM
47.4,71.2,77.9,25.4,3.8,52.3,MEDIUM
62.3,83.9,71.0,51.6,5.4,67.2,LOW
66.8,97.0,94.9,48.3,6.1,84.6,LOW
82.5,80.1,57.1,52.6,5.0,66.9,LOW
86.3,36.6,64.0,49.4,3.0,59.4,MEDIUM
58.9,50.1,43.6,45.2,2.0,39.6,HIGH
60.5,71.1,23.2,89.2,7.9,59.3,MEDIUM
75.4,44.2,32.0,21.3,2.3,40.7,MEDIUM
64.1,57.3,51.9,90.6,4.6,59.9,MEDIUM
33.6,95.8,90.7,93.8,3.0,70.8,LOW
62.6,50.9,68.8,54.7,6.0,58.2,MEDIUM
65.9,58.2,94.1,89.5,4.8,74.1,LOW
43.5,93.8,24.9,99.4,1.5,59.9,MEDIUM
48.9,22.0,29.7,61.7,0.2,33.5,HIGH
85.9,56.8,66.0,42.8,0.5,61.4,LOW
38.6,55.1,53.9,81.1,0.4,57.2,MEDIUM
81.0,65.3,16.1,97.5,9.3,55.5,MEDIUM
76.2,55.2,75.0,41.4,1.4,68.8,LOW
36.5,50.7,45.5,23.4,3.0,48.2,MEDIUM
43.6,65.5,47.6,86.1,1.5,56.2,MEDIUM
47.9,93.3,10.1,25.3,8.6,40.8,MEDIUM
63.8,25.3,52.1,98.5,9.2,56.6,MEDIUM
35.6,56.8,90.9,69.3,9.8,74.0,LOW
96.9,40.6,60.3,91.1,8.1,65.6,LOW
76.5,62.1,70.1,86.8,5.9,74.3,LOW
86.4,82.3,32.1,85.2,4.3,60.4,LOW
95.8,44.0,97.5,99.3,0.5,80.9,LOW
86.1,40.6,84.2,64.4,8.4,66.2,LOW
96.9,57.1,23.8,27.9,5.4,46.7,MEDIUM
82.0,53.5,39.8,26.5,1.6,48.2,MEDIUM
95.0,25.3,38.3,91.1,4.4,59.6,MEDIUM
40.8,57.9,12.8,95.0,1.2,37.7,HIGH
91.5,59.3,96.2,67.1,4.1,84.5,LOW
50.1,68.8,24.8,32.7,3.3,40.5,MEDIUM
35.8,26.6,81.7,20.7,5.4,48.1,MEDIUM
36.5,97.6,82.7,71.8,9.9,68.4,LOW
42.4,30.7,98.5,49.3,6.9,66.7,LOW
55.0,65.8,13.6,91.4,3.3,40.2,MEDIUM
70.8,99.1,65.3,85.7,1.9,70.3,LOW
57.4,99.5,19.7,67.5,6.2,56.9,MEDIUM
88.2,42.8,15.8,68.5,2.6,47.7,MEDIUM
79.0,27.7,64.6,75.1,0.3,62.4,LOW
76.6,75.6,82.9,48.7,5.1,69.8,LOW
79.4,52.1,82.6,38.8,9.8,65.5,LOW
52.9,39.3,23.4,32.4,0.8,35.3,HIGH
38.2,28.6,50.4,31.9,0.7,41.9,MEDIUM
78.1,66.3,74.7,54.8,1.2,69.5,LOW
96.0,64.2,62.9,95.0,2.1,72.1,LOW
32.4,32.5,27.2,25.3,0.3,33.7,HIGH
47.7,34.9,54.8,72.7,4.0,53.7,MEDIUM
52.7,30.6,39.4,97.3,4.2,45.7,MEDIUM
94.1,65.3,73.0,20.6,7.8,75.0,LOW
59.1,59.0,99.0,31.9,8.8,66.2,LOW
72.3,96.6,91.7,77.7,4.2,88.8,LOW
74.2,76.9,82.0,49.8,0.0,70.0,LOW
87.7,60.1,29.0,46.6,6.6,56.8,MEDIUM
65.3,62.5,90.1,99.5,6.1,80.0,LOW
60.4,96.0,82.0,56.4,7.2,77.6,LOW
67.7,80.5,14.0,46.6,4.1,49.6,MEDIUM
85.4,58.0,89.0,94.3,9.1,83.2,LOW
46.2,45.2,63.2,55.9,3.0,55.0,MEDIUM
32.7,38.4,91.4,40.3,2.7,56.0,MEDIUM
32.8,96.2,50.4,51.8,4.3,65.5,LOW
86.2,41.9,83.3,63.7,4.2,68.6,LOW
96.7,83.6,67.6,44.5,6.0,66.4,LOW
99.2,37.1,69.5,43.0,1.2,56.2,MEDIUM
99.2,64.9,39.6,63.6,2.0,63.4,LOW
35.6,71.7,95.2,21.7,1.3,66.3,LOW
48.1,72.6,70.5,53.2,9.1,60.2,LOW
41.5,27.8,93.9,44.8,5.4,58.3,MEDIUM
34.8,98.6,88.6,88.2,0.0,71.7,LOW
84.5,83.6,95.0,97.2,1.1,85.4,LOW
38.5,81.3,80.2,57.2,1.2,68.0,LOW
49.5,26.7,81.0,48.3,3.9,49.1,MEDIUM
96.1,78.0,92.0,69.6,9.7,90.5,LOW
99.4,33.0,40.8,61.8,6.9,50.2,MEDIUM
99.4,80.6,41.6,47.2,3.9,67.7,LOW
37.2,61.0,83.1,37.0,1.9,60.5,LOW
84.1,79.8,16.0,99.4,2.3,60.9,LOW
93.9,59.6,79.4,51.0,6.4,67.5,LOW
32.9,56.2,10.3,48.4,9.9,43.4,MEDIUM
75.4,53.2,85.4,97.6,8.6,70.6,LOW
89.0,67.6,60.5,29.3,1.4,60.9,LOW
99.7,78.1,40.7,70.0,0.3,69.7,LOW
52.2,45.0,84.0,43.5,8.6,54.8,MEDIUM
51.0,97.1,22.3,40.7,3.8,44.7,MEDIUM
53.8,53.0,16.7,62.5,0.8,36.6,HIGH
51.0,21.8,98.3,46.2,7.1,66.4,LOW
95.2,68.2,86.6,49.0,1.0,70.5,LOW
53.4,91.1,26.4,37.0,8.0,47.9,MEDIUM
49.4,87.3,59.5,63.3,8.6,71.3,LOW
68.4,66.2,72.1,43.8,5.5,61.5,LOW
92.7,80.2,13.7,93.5,4.2,62.0,LOW
48.8,24.2,16.2,95.9,5.9,32.5,HIGH
63.4,57.5,42.5,63.4,2.6,54.2,MEDIUM
69.3,83.5,17.4,33.5,6.5,50.2,MEDIUM
90.7,70.5,11.5,37.5,7.1,43.7,MEDIUM
97.0,89.1,55.9,99.2,0.1,76.5,LOW
49.1,83.6,79.9,35.0,5.5,59.6,MEDIUM
44.8,73.4,27.3,62.2,3.4,46.4,MEDIUM
71.4,92.9,35.9,39.9,8.6,54.3,MEDIUM
59.4,71.9,54.8,98.2,4.1,60.9,LOW
47.7,30.3,26.6,71.3,1.2,40.5,MEDIUM
39.3,23.2,99.8,79.6,7.3,67.1,LOW
39.3,37.5,96.3,66.0,6.5,67.6,LOW
88.1,21.1,19.6,36.5,1.4,39.5,HIGH
85.0,89.5,39.3,52.9,6.6,67.3,LOW
61.0,36.1,67.2,36.5,3.5,57.9,MEDIUM
90.1,73.0,54.1,95.9,4.4,67.8,LOW
60.3,32.7,80.3,86.7,7.5,65.5,LOW
44.3,28.8,35.8,42.7,1.8,40.2,MEDIUM
63.1,81.0,15.9,56.4,3.0,44.0,MEDIUM
44.1,89.1,85.6,97.1,2.7,76.7,LOW
60.7,30.7,80.3,71.6,3.8,68.3,LOW
68.6,71.4,23.0,41.4,3.7,43.8,MEDIUM
36.9,89.0,56.5,44.8,4.0,51.1,MEDIUM
97.0,28.6,90.9,40.2,2.4,72.9,LOW
95.2,88.5,61.7,94.0,9.2,83.5,LOW
98.4,20.3,96.3,46.2,6.9,69.7,LOW
69.8,20.1,27.4,28.7,3.1,38.7,HIGH
47.6,84.4,62.8,70.3,6.7,73.9,LOW
69.6,48.6,44.2,70.0,8.9,53.7,MEDIUM
90.0,48.6,78.3,62.6,4.9,68.3,LOW
69.4,75.2,19.3,91.7,2.3,60.2,LOW
44.3,53.0,99.6,25.8,6.8,71.9,LOW
60.9,30.9,76.4,37.5,1.0,48.9,MEDIUM
94.3,52.7,99.2,71.4,8.9,88.2,LOW
36.5,93.9,65.1,27.5,2.5,60.5,LOW
82.2,95.1,31.7,58.1,2.8,56.1,MEDIUM
83.0,78.3,93.4,59.2,9.9,87.4,LOW
92.1,28.0,55.3,38.3,5.8,45.4,MEDIUM
78.7,94.8,77.8,64.5,1.6,81.0,LOW
98.6,65.7,70.1,35.4,8.2,65.8,LOW
33.2,34.4,84.5,35.8,2.9,44.6,MEDIUM
61.5,69.5,12.8,78.1,7.2,47.3,MEDIUM
83.0,80.9,85.1,54.5,6.9,83.6,LOW
41.1,50.2,25.4,22.8,1.8,39.5,HIGH
59.4,26.8,24.2,25.9,4.2,32.0,HIGH
79.0,33.3,74.2,77.1,8.8,66.6,LOW
93.1,67.3,96.6,66.8,3.3,80.2,LOW
88.0,67.5,69.4,37.2,4.5,61.3,LOW
88.6,55.6,38.4,68.5,9.3,64.8,LOW
88.5,35.7,36.6,81.8,4.6,47.5,MEDIUM
70.7,83.7,21.4,24.3,7.4,50.4,MEDIUM
90.0,64.8,45.5,72.0,7.1,69.5,LOW
33.7,34.4,88.8,83.9,2.4,53.0,MEDIUM
90.1,63.5,16.7,63.1,0.8,50.0,MEDIUM
36.5,40.9,59.4,86.2,0.4,51.3,MEDIUM
88.7,31.2,81.1,75.9,0.9,60.1,LOW
61.0,53.8,67.0,26.4,7.6,56.2,MEDIUM
77.7,99.4,40.4,22.6,0.1,50.4,MEDIUM
76.5,21.9,82.9,22.4,3.2,58.9,MEDIUM
86.6,66.9,17.4,35.2,9.5,43.7,MEDIUM
84.9,63.1,43.4,83.0,7.5,65.8,LOW
80.3,99.1,38.2,73.8,7.9,69.3,LOW
50.3,43.4,24.3,63.7,1.5,42.4,MEDIUM
67.8,43.0,57.0,81.4,1.5,62.4,LOW
50.2,69.7,13.8,50.4,0.4,39.0,HIGH
31.8,67.9,10.3,40.9,2.5,31.9,HIGH
53.9,48.9,56.4,62.4,4.1,55.2,MEDIUM
46.5,31.9,34.2,38.2,3.2,39.2,HIGH
55.6,85.7,80.7,50.0,0.4,71.9,LOW
73.8,24.2,28.7,52.8,8.6,44.0,MEDIUM
73.3,82.9,11.5,70.0,6.4,60.1,LOW
94.7,34.8,15.8,41.4,0.5,33.6,HIGH
57.4,86.8,21.2,64.5,5.3,45.0,MEDIUM
73.8,40.7,87.1,34.2,9.5,65.3,LOW
95.2,61.3,44.0,81.1,5.3,57.6,MEDIUM
48.7,32.4,15.9,75.7,6.2,34.6,HIGH
42.0,65.7,70.3,78.4,4.1,57.8,MEDIUM
47.0,53.6,74.5,49.5,7.3,60.4,LOW
45.0,44.8,80.0,26.6,8.7,61.7,LOW
50.4,98.6,45.1,48.4,7.5,65.6,LOW
90.6,23.4,46.3,38.3,6.8,46.8,MEDIUM
77.8,43.5,96.3,92.9,0.2,67.5,LOW
56.4,52.9,35.2,43.2,5.8,51.2,MEDIUM
65.4,93.4,79.5,78.5,3.7,78.8,LOW
65.1,34.3,98.4,46.5,9.7,67.3,LOW
88.2,24.9,71.9,23.0,6.9,48.9,MEDIUM
89.7,39.1,92.5,36.7,7.7,67.1,LOW
88.0,40.6,38.4,76.7,3.9,50.2,MEDIUM
39.9,28.2,18.5,68.0,5.3,37.9,HIGH
85.1,63.6,64.6,35.9,5.9,66.0,LOW
43.9,37.3,46.4,45.8,2.3,48.5,MEDIUM
89.8,77.9,96.1,93.5,6.1,88.2,LOW
83.1,46.2,45.0,56.9,5.0,53.5,MEDIUM
68.7,89.1,90.3,20.9,1.8,76.8,LOW
99.8,22.4,19.6,82.3,1.1,39.4,HIGH
71.8,93.9,32.0,50.2,4.7,62.2,LOW
48.5,42.7,98.1,29.6,7.2,61.4,LOW
30.2,69.7,29.2,49.4,7.9,39.2,HIGH
34.1,44.9,16.4,29.9,5.3,35.3,HIGH
50.1,63.1,30.3,51.8,4.8,52.0,MEDIUM
71.1,80.5,46.7,33.6,7.2,66.4,LOW
72.5,60.5,16.6,56.1,3.4,44.2,MEDIUM
36.5,94.7,72.6,88.6,2.9,71.4,LOW
58.5,79.8,84.7,70.4,7.8,73.2,LOW
64.5,51.6,49.2,83.3,0.5,58.9,MEDIUM
